iter	Passed	Remaining
871	12064	1771
872	12078	1757
873	12092	1743
874	12104	1729
875	12118	1715
876	12131	1701
877	12145	1687
878	12158	1673
879	12170	1659
880	12183	1645
881	12196	1631
882	12209	1617
883	12223	1603
884	12237	1590
885	12250	1576
886	12263	1562
887	12277	1548
888	12290	1534
889	12303	1520
890	12316	1506
891	12329	1492
892	12345	1479
893	12358	1465
894	12371	1451
895	12384	1437
896	12397	1423
897	12410	1409
898	12423	1395
899	12435	1381
900	12449	1367
901	12463	1354
902	12477	1340
903	12491	1326
904	12504	1312
905	12517	1298
906	12531	1284
907	12544	1271
908	12557	1257
909	12571	1243
910	12584	1229
911	12596	1215
912	12609	1201
913	12623	1187
914	12636	1173
915	12649	1160
916	12663	1146
917	12676	1132
918	12689	1118
919	12701	1104
920	12715	1090
921	12728	1076
922	12742	1063
923	12756	1049
924	12769	1035
925	12782	1021
926	12794	1007
927	12808	993
928	12822	979
929	12835	966
930	12848	952
931	12861	938
932	12874	924
933	12887	910
934	12899	896
935	12912	882
936	12924	869
937	12938	855
938	12953	841
939	12967	827
940	12980	813
941	12994	800
942	13010	786
943	13026	772
944	13040	758
945	13053	745
946	13068	731
947	13080	717
948	13095	703
949	13109	689
950	13124	676
951	13139	662
952	13153	648
953	13167	634
954	13181	621
955	13194	607
956	13208	593
957	13221	579
958	13235	565
959	13250	552
960	13263	538
961	13277	524
962	13291	510
963	13306	496
964	13318	483
965	13333	469
966	13347	455
967	13361	441
968	13374	427
969	13388	414
970	13402	400
971	13416	386
972	13430	372
973	13444	358
974	13459	345
975	13473	331
976	13486	317
977	13499	303
978	13512	289
979	13525	276
980	13539	262
981	13552	248
982	13565	234
983	13578	220
984	13591	206
985	13605	193
986	13622	179
987	13638	165
988	13652	151
989	13665	138
990	13679	124
991	13692	110
992	13705	96
993	13718	82
994	13732	69
995	13745	55
996	13758	41
997	13771	27
998	13784	13
999	13797	0
